Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Birthrate,Deathrate,Agriculture,Industry,Service,Life expectancy,CPI Score,unemployment_percentage,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Israel,6352117,20770,305.8,1.31,0.68,7.03,19800.0,95.4,462.3,16.39,4.17,79.44,17.97,6.18,0.026000000000000002,0.317,0.657,81.3,60.80688000000001,4.3,Africa,11,7.142199964141844,1.303722484680176,1.3219179927444462,0.90268879996109,0.4174997207660676,0.22204253099060065,0.21876842001199728
Italy,58133509,301230,193.0,2.52,2.07,5.94,26700.0,98.6,430.9,27.79,9.53,62.68,8.72,10.4,0.021,0.29100000000000004,0.688,82.1875,45.206913,11.4,Europe,47,6.022400045013428,1.311831323783874,1.3346726563339242,0.9287248695335388,0.2438161425361634,0.104471929635048,0.0962196182831526
Jamaica,2758124,10991,250.9,9.3,-4.92,12.36,3900.0,87.9,124.0,16.07,10.16,73.77,20.82,6.52,0.049,0.337,0.615,74.29375,39.141237,12.2,America,67,5.661999974060057,0.8558578618927001,1.2907916128616344,0.6894244768333436,0.4959394478111268,0.1005496674642562,0.10980355620384216
Japan,127463611,377835,337.4,7.87,0.0,3.26,28200.0,99.0,461.2,12.19,0.96,86.85,9.37,9.16,0.017,0.258,0.725,82.5375,74.8409,2.9,Asia,51,5.9258000152587895,1.3377450356597902,1.3269995657272342,0.979099174217224,0.4934771091957091,0.12780455363035198,0.1326101473169326
Jordan,5906760,92300,64.0,0.03,6.59,17.35,4300.0,91.3,104.5,2.67,1.83,95.5,21.25,2.65,0.033,0.287,0.68,72.9875,47.98575200000001,16.5,Africa,88,5.179599993133545,0.9097444788856504,1.129033778587342,0.6736200116653441,0.407252229850769,0.13761409204483038,0.127390654437542
Kazakhstan,15233244,2717300,5.6,0.0,-3.35,29.21,6300.0,98.4,164.1,7.98,0.05,91.97,16.0,9.42,0.067,0.386,0.547,66.7625,29.193975,5.0,Europe,55,5.838399953460693,1.190505253929138,1.297243803138732,0.6367163101272585,0.4446288566474914,0.1383648846120834,0.1209325772771836
Kenya,34707817,582650,59.6,0.09,-0.1,61.47,1000.0,85.1,8.1,8.08,0.98,90.94,39.72,14.02,0.163,0.188,0.6509999999999999,57.48125,25.64349,40.0,Africa,117,4.449399994659424,0.4905718924293517,0.9720221451110841,0.4121616699352265,0.4431347532100678,0.25882206187248225,0.1922682638430596
South Korea,48846823,98480,496.0,2.45,0.0,7.05,17800.0,97.9,486.1,17.18,1.95,80.87,10.0,5.85,0.033,0.40299999999999997,0.563,80.4875,55.056394,3.8,Asia,54,5.885399964141847,1.314553688591004,1.046190888153076,0.9486088152084348,0.24893633318138125,0.14248087343788138,0.10881853371810916
Kuwait,2418393,17820,135.7,2.8,14.18,9.95,19000.0,83.5,211.0,0.73,0.11,99.16,21.94,2.41,0.004,0.479,0.516,73.84375000000001,43.216031,2.1,Africa,41,6.148600003814697,1.555662490341186,1.184643749717712,0.6951431416244505,0.5059975185203551,0.2060139595804214,0.1480179100618362
Kyrgyzstan,5213898,198500,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,7.3,0.35,92.35,22.8,7.08,0.353,0.20800000000000002,0.439,69.08125,26.019878,7.4,Europe,89,5.1734000373840345,0.5423880152168274,1.2707457182388302,0.6151655593147277,0.4679666777400969,0.219904074705124,0.15641183580064774
