Year,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Result,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Country,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
28,France,Europe,29,6.575,1.27778,1.2603799999999998,0.94579,0.55011,0.20646,0.12332,Uruguay,America,29,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.21394,0.18056,Guatemala,America,29,6.4539999961853,0.872001945972443,1.25558519363403,0.540239989757538,0.5313106179237371,0.283488392829895,0.0772232785820961,Argentina,America,29,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,0.054000000000000006,Qatar,Africa,29,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998
29,Argentina,America,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,Malta,Europe,30,6.488,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,Panama,America,30,6.4520001411438,1.23374843597412,1.3731925487518302,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,Guatemala,America,30,6.3820000000000014,0.7809999999999999,1.268,0.608,0.604,0.179,0.071,Spain,Europe,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079
30,Czech Republic,Europe,31,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,Colombia,America,31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15625999999999998,France,Europe,31,6.44199991226196,1.43092346191406,1.38777685165405,0.8444658517837521,0.470222115516663,0.129762306809425,0.172502428293228,Uruguay,America,31,6.379,1.093,1.459,0.7709999999999999,0.625,0.13,0.155,Panama,America,31,6.3210000000000015,1.149,1.442,0.91,0.516,0.109,0.054000000000000006
31,Uruguay,America,32,6.485,1.06166,1.2089,0.8116,0.6036199999999999,0.24558,0.2324,France,Europe,32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,Thailand,Asia,32,6.423999786376951,1.12786877155304,1.4257924556732198,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,Qatar,Africa,32,6.374,1.649,1.3030000000000002,0.748,0.654,0.256,0.171,Brazil,America,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086
32,Colombia,America,33,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18401,Thailand,Asia,33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,Taiwan Province of China,,33,6.42199993133545,1.4336265325546298,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,Saudi Arabia,Africa,33,6.371,1.379,1.331,0.633,0.509,0.098,0.127,Uruguay,America,33,6.292999999999998,1.124,1.465,0.8909999999999999,0.523,0.127,0.15
33,Thailand,Asia,34,6.455,0.9669,1.26504,0.7385,0.5566399999999999,0.03187,0.5763,Saudi Arabia,Africa,34,6.379,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,Spain,Europe,34,6.40299987792969,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,Singapore,Asia,34,6.343,1.529,1.4509999999999998,1.008,0.631,0.261,0.457,Singapore,Asia,34,6.2620000000000005,1.5719999999999998,1.463,1.141,0.556,0.271,0.453
34,Saudi Arabia,Africa,35,6.4110000000000005,1.39541,1.0839299999999998,0.72025,0.31048000000000003,0.32524000000000003,0.13706,Taiwan,Asia,34,6.379,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,Qatar,Africa,35,6.375,1.87076568603516,1.27429687976837,0.7100980877876278,0.604130983352661,0.33047387003898604,0.4392992556095121,Malaysia,Asia,35,6.322,1.161,1.258,0.669,0.35600000000000004,0.311,0.059,El Salvador,America,35,6.252999999999999,0.794,1.242,0.789,0.43,0.093,0.07400000000000001
35,Spain,Europe,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,Qatar,Africa,36,6.375,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,Colombia,America,36,6.35699987411499,1.07062232494354,1.4021829366683998,0.595027923583984,0.477487415075302,0.14901447296142598,0.0466687418520451,Spain,Europe,36,6.31,1.251,1.538,0.965,0.449,0.142,0.07400000000000001,Italy,Europe,36,6.223,1.294,1.4880000000000002,1.039,0.231,0.158,0.03
36,Malta,Europe,37,6.3020000000000005,1.2074,1.30203,0.88721,0.60365,0.13585999999999998,0.51752,Spain,Europe,37,6.3610000000000015,1.34253,1.12945,0.8789600000000001,0.37545,0.061370000000000015,0.17665,Saudi Arabia,Africa,37,6.343999862670901,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126004,Colombia,America,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039,Bahrain,Africa,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11
37,Taiwan,Asia,38,6.297999999999999,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,Algeria,Africa,38,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,0.07044,Trinidad and Tobago,America,38,6.1680002212524405,1.36135590076447,1.3802285194397,0.5199832916259771,0.518630743026733,0.32529646158218395,0.00896481610834599,Trinidad & Tobago,,38,6.192,1.223,1.492,0.564,0.575,0.171,0.019,Slovakia,Europe,38,6.198,1.246,1.504,0.8809999999999999,0.334,0.121,0.014
